rec	Station	Crime type

1	KCA-TSWR	Illegal grazing
2	KCA-KNP	Illegal possesion
3	KCA-KNP	Illegal possesion
4	KCA-KNP	Hunting for meat
5	KCA-KNP	Illegal possesion
6	QECA-RMNP	Illegal harvesting
7		
8	KCA-TSWR	Illegal grazing
9	KCA	Hunting for meat
10	QECA-QENP	Illegal possesion
11	LMNP	Hunting for meat
12	KCA-TSWR	Illegal grazing
13	KCA-TSWR	Hunting for meat
14		
15	KVCA-KVNP	Hunting for meat
16	MFCA-MFNP	Illegal fishing
17	MFCA-MFNP	Illegal entry
19	MFCA-MFNP	Illegal entry
20		
21	MFCA-MFNP	Illegal entry
22	MFCA-MFNP	Illegal entry
23		
24	MFCA-MFNP	Illegal entry
25	MFCA-MFNP	Possesion of firearms
26	MFCA-MFNP	Possesion of firearms
27	MFCA-MFNP	Illegal entry
28		
29		
30	KCA-TSWR	Illegal possesion
31		
32	MFCA-MFNP	Illegal entry
33	MFCA-MFNP	Accessory to crime
34	MFCA-MFNP	Illegal entry
35	MFCA-MFNP	Illegal entry
36	MFCA-MFNP	Illegal entry
37	MFCA-MFNP	Illegal entry
38		
39		
40		
41		
42		
43		
44		
45	MFCA-MFNP	Illegal entry
46	KCA-KNP	Illegal harvesting
47	KCA-KNP	Illegal possesion
48	KCA-KNP	Illegal possesion
50	KCA-KNP	Illegal entry
51	KCA-KNP	Illegal entry
53	KCA-SNP	Hunting for meat
54		
55		
56	KCA-SNP	Illegal possesion
57		
58		
59	KCA-SNP	Illegal possesion
60		
61		
62	KCA-SNP	Illegal possesion
63		
64	KCA-SNP	Hunting for meat
65		
66		
67		
68	MFCA-MFNP	Illegal fishing
69	MFCA-MFNP	Illegal fishing
70	MFCA-MFNP	Illegal fishing
71		
72	MFCA-MFNP	Hunting for meat
73	MFCA-MFNP	Illegal entry
74		
75	MFCA-MFNP	Illegal fishing
76		
77		
78		
79	MFCA-MFNP	Hunting for meat
80	MFCA-BWR	Illegal grazing
81	KCA-KNP	Illegal entry
82	KCA-KNP	Accessory to crime
83	KCA-KNP	Illegal possesion
84	MFCA-MFNP	Illegal entry
85	MFCA-MFNP	Illegal entry
86	MFCA-MFNP	Illegal fishing
87	KCA-KNP	Hunting for meat
88	MFCA-MFNP	Illegal fishing
92	KCA-KNP	Illegal possesion
93	MFCA-MFNP	Illegal fishing
94		
95		
96		
97	MFCA-MFNP	Illegal fishing
98		
99		
100		
101	HQ	Illegal possesion
102		
103	MFCA-MFNP	Illegal entry
104	MFCA-MFNP	Illegal entry
105	MFCA-MFNP	Illegal entry
106	MFCA-MFNP	
107		
108	MFCA-MFNP	Illegal possesion
109	QECA-QENP	Illegal grazing
110		
111	KVCA-KVNP	Hunting for meat
112	MFCA-BWR	Illegal possesion
113	MFCA-MFNP	Illegal entry
114	MFCA-MFNP	Illegal possesion
115	MFCA-MFNP	
116	MFCA-MFNP	Ivory poaching
117	MFCA-MFNP	Hunting for meat
118	QECA-QENP	Illegal grazing
119	QECA-QENP	Illegal fishing
120		
121	QECA-QENP	Illegal grazing
122		
123	QECA-QENP	Illegal grazing
124		
125		
126	QECA-QENP	Illegal entry
127	MFCA-MFNP	Illegal fishing
128	MFCA-MFNP	Illegal fishing
129		
130	QECA-QENP	Illegal entry
131		
132	QECA-QENP	Illegal entry
133		
134		
135	QECA-QENP	Illegal entry
136	QECA-QENP	Illegal entry
137	QECA-QENP	Illegal entry
138	QECA-QENP	Illegal entry
139	QECA-QENP	Illegal entry
140	QECA-QENP	Illegal grazing
