Crime,Hunting for meat,Illegal harvesting,Illegal farming,Illegal grazing,Illegal fishing,Illegal possesion,Illegal entry,Possesion of firearms,Other illegal activities,Summary
Prosecutions,61,31,2,26,43,61,753,2,4,983
Succesful prosecutions (%),100,93.5,100,100,100,98.4,100,100,100,99.7
Acquittals,0,0,0,0,0,0,0,0,0,0
Dismissed by prosecutor,0,0,0,0,0,0,0,0,0,0
Dismissed by court,0,2,0,0,0,1,0,0,0,3
Cautions issued,1,5,0,1,2,0,6,0,0,15
Fines issued,10,7,0,4,10,14,5,0,0,50
Amount fined total,300050,600000,0,800090,2800006,3,90030,0,0,4590179
Prison term verdicts,6,0,0,1,6,1,9,0,0,23
Prison days total,1111,0,0,365,1917,183,91,0,0,3667
Community service verdicts,1,1,0,0,0,3,0,0,0,5
Community service days total,0,0,0,0,0,122,0,0,0,122
Other sentences,0,0,0,0,0,2,2,0,0,4
