Station,QECA-QENP,QECA-RMNP,MFCA,MFCA-MFNP,MFCA-BWR,MECA-MENP,KCA,KCA-KNP,KCA-KEWR,N/A,All stations
No. of arrests,66,1,1,64,2,1,8,54,1,7,205
No. of offenders,62,1,1,61,2,1,5,51,1,7,190
First time offenders,60,1,1,58,2,1,2,45,1,7,178
Second time offenders,1,0,0,1,0,0,3,5,0,0,10
Third+ time offenders,1,0,0,2,0,0,0,1,0,0,2
No. of charges,49,1,1,57,2,0,4,12,0,7,133
Firearms,0,0,0,0,0,0,0,0,0,0,0
Spears,0,0,0,104,0,0,10,12,0,0,126
Bows,0,0,0,0,0,0,0,0,0,0,0
Arrows,0,0,0,0,0,0,0,0,0,0,0
Machetes,0,0,1,157,1,0,0,5,0,0,164
Hand saws,1,0,1,2,0,0,0,3,0,0,7
Power saws,0,0,0,0,0,0,0,0,0,0,0
Axes,5,0,0,2,1,0,0,5,0,0,13
Bicycles,0,0,0,0,2,0,0,1,0,0,3
Motorbike,0,0,0,0,0,0,0,1,0,0,1
Vehicles,0,0,0,0,0,0,0,0,0,0,0
Jerrycans,0,0,0,0,0,0,0,0,0,0,0
Tents,0,0,0,0,0,0,0,0,0,0,0
Blankets,0,0,0,0,0,0,0,0,0,0,0
Basins,0,0,0,0,0,0,0,0,0,0,0
Plates & cutlery,0,0,0,0,0,0,0,0,0,0,0
Fishing nets,0,0,0,15,0,0,0,0,0,0,15
Fish traps,150,0,0,6,0,0,0,0,0,0,156
Boats,0,0,0,19,0,0,0,0,0,0,19
Animal traps,0,0,0,331,0,0,0,27,0,0,358
Domestic dogs,0,0,0,0,0,0,0,0,0,0,0
Other items,51,0,0,194,0,0,1,42,0,265,553
Elephants No,0,0,0,0,0,0,6,0,0,0,6
Elephants Kg,0,0,0,0,0,0,0,0,0,0,0
Hippopotamus No,1,0,0,0,0,0,0,0,0,0,1
Hippopotamus Kg,50,0,0,0,0,0,0,0,0,0,50
Giraffe No,0,0,0,0,0,0,0,0,0,0,0
Giraffe Kg,0,0,0,0,0,0,0,0,0,0,0
Zebra No,0,0,0,0,0,0,0,0,0,0,0
Zebra Kg,0,0,0,0,0,0,0,0,0,0,0
Uganda Kob No,0,0,0,5,0,0,0,0,0,0,5
Uganda Kob Kg,4,0,0,0,0,0,0,0,0,0,4
Topi No,0,0,0,0,0,0,0,0,0,0,0
Topi Kg,0,0,0,0,0,0,0,0,0,0,0
Eland No,0,0,0,0,0,0,0,0,0,0,0
Eland Kg,0,0,0,0,0,0,0,0,0,0,0
Hartebeest No,0,0,0,0,0,0,0,0,0,0,0
Hartebeest Kg,0,0,0,0,0,0,0,0,0,0,0
