rec,UWA Arrest ID,Arresting officer,Date,Station,Outpost name,Location name,Detection,Crime type,Offence Loc.

1,KCA-TSWR-3-2014-05-08-1,"September A, Kiiza J, Thembo R",07/05-2014,KCA-TSWR,Karugutu,Karugutu,Routine patrol by rangers,Illegal grazing,KCA-TSWR
2,KCA-KNP-10-2014-05-09-1,Capt. John Alobe,21/04-2014,KCA-KNP,Isunga,Ntoroko Road,Other,Illegal possesion,KCA-KNP
3,KCA-KNP-10-2014-05-10-1,Capt. John Alobe,21/04-2014,KCA-KNP,Isunga,Ntoroko Road,Other,Illegal possesion,KCA-KNP
4,KCA-KNP-10-2014-05-10-2,Kushemererwa Ronald,28/04-2014,KCA-KNP,Kabaleke,Bigando,House visit based on intelligence,Hunting for meat,KCA-KNP
5,KCA-KNP-10-2014-05-10-3,Pte. Kushemererwa Ronald,05/05-2014,KCA-KNP,Kabaleke,Bigando,Ambush patrol based on intelligence,Illegal possesion,KCA-KNP
6,QECA-RMNP-11-2014-05-10-,"Tswerya Edson, Thembo,",09/05-2014,QECA-RMNP,Mihunga,Kabale,Routine patrol by rangers,Illegal harvesting,QECA-RMNP
8,KCA-TSWR-3-2014-05-14-2,Kiiza James And Baramye Julius,12/05-2014,KCA-TSWR,Karugutu,Munyege,Ambush patrol based on intelligence,Illegal grazing,KCA-TSWR
9,KCA-KNP-10-2014-05-14-1,Cpl. Rubahika Alex,12/05-2014,KCA,Kikorogoto,Kasamba,Ambush patrol based on intelligence,Hunting for meat,KCA
10,QECA-QENP-21-2014-05-15-,Kisembo Jimmy,08/05-2014,QECA-QENP,Kanyangeya,Kanyangeya,,Illegal possesion,QECA-QENP
11,LMNP-33-2014-05-15-1,Buga Angello,20/01-2014,LMNP,Bisheshe,Rwetango,Routine patrol by rangers,Hunting for meat,LMNP
12,KCA-TSWR-3-2014-05-19-1,Sgt Kiiza James And Lcpl Baramye Julius,12/05-2014,KCA-TSWR,Karugutu,Karugutu,Routine patrol by rangers,Illegal grazing,KCA-TSWR
13,KCA-TSWR-3-2014-05-19-2,"Lcpl Oringa O David, Pte Thembo & Ndyanabo",19/05-2014,KCA-TSWR,Karugutu,Munyege,Routine patrol by rangers,Hunting for meat,KCA-TSWR
15,KVCA-KVNP-42-2014-05-20-,Lt. James Obuchel,08/04-2014,KVCA-KVNP,Geremech,Kalosigira,Routine patrol by rangers,Hunting for meat,KVCA-KVNP
16,MFCA-MFNP-49-2014-05-22-,Ofoyuru Benjamin,20/05-2014,MFCA-MFNP,Paraa Hq,Simba,Routine patrol by rangers,Illegal fishing,MFCA-MFNP
