Station,MFCA,MFCA-MFNP,MFCA-BWR,KCA-KNP,N/A,All stations
No. of arrests,1,34,2,4,7,48
No. of offenders,1,33,2,4,7,47
First time offenders,1,30,2,4,7,44
Second time offenders,0,1,0,0,0,1
Third+ time offenders,0,2,0,0,0,2
No. of charges,1,30,2,1,7,41
Firearms,0,0,0,0,0,0
Spears,0,85,0,4,0,89
Bows,0,0,0,0,0,0
Arrows,0,0,0,0,0,0
Machetes,1,137,1,0,0,139
Hand saws,1,2,0,0,0,3
Power saws,0,0,0,0,0,0
Axes,0,2,1,0,0,3
Bicycles,0,0,2,0,0,2
Motorbike,0,0,0,0,0,0
Vehicles,0,0,0,0,0,0
Jerrycans,0,0,0,0,0,0
Tents,0,0,0,0,0,0
Blankets,0,0,0,0,0,0
Basins,0,0,0,0,0,0
Plates & cutlery,0,0,0,0,0,0
Fishing nets,0,6,0,0,0,6
Fish traps,0,6,0,0,0,6
Boats,0,11,0,0,0,11
Animal traps,0,293,0,0,0,293
Domestic dogs,0,0,0,0,0,0
Other items,0,184,0,8,265,457
Elephants No,0,0,0,0,0,0
Elephants Kg,0,0,0,0,0,0
Hippopotamus No,0,0,0,0,0,0
Hippopotamus Kg,0,0,0,0,0,0
Giraffe No,0,0,0,0,0,0
Giraffe Kg,0,0,0,0,0,0
Zebra No,0,0,0,0,0,0
Zebra Kg,0,0,0,0,0,0
Uganda Kob No,0,5,0,0,0,5
Uganda Kob Kg,0,0,0,0,0,0
Topi No,0,0,0,0,0,0
Topi Kg,0,0,0,0,0,0
Eland No,0,0,0,0,0,0
Eland Kg,0,0,0,0,0,0
Hartebeest No,0,0,0,0,0,0
Hartebeest Kg,0,0,0,0,0,0
Waterbuck No,0,3,0,0,0,3
Waterbuck Kg,0,0,0,0,0,0
Oribi No,0,0,0,0,0,0
Oribi Kg,0,0,0,0,0,0
Roan antelope No,0,0,0,0,0,0
Roan antelope Kg,0,0,0,0,0,0
Black-fronted duiker No,0,0,0,0,0,0
Black-fronted duiker Kg,0,0,0,0,0,0
Yellow-backed duiker No,0,0,0,0,0,0
Yellow-backed duiker Kg,0,0,0,0,0,0
Weyns duiker No,0,0,0,0,0,0
Weyns duiker Kg,0,0,0,0,0,0
Bush duiker No,0,0,0,0,0,0
Bush duiker Kg,0,0,0,0,0,0
Giant Forest Hog No,0,0,0,0,0,0
Giant Forest Hog Kg,0,0,0,0,0,0
Warthog No,0,0,0,0,0,0
Warthog Kg,0,0,0,0,0,0
Bushpig No,0,0,0,0,0,0
Bushpig Kg,0,0,0,0,0,0
Crocodile No,0,0,0,0,0,0
Crocodile Kg,0,0,0,0,0,0
Lion No,0,0,0,0,0,0
Lion Kg,0,0,0,0,0,0
Leopard No,0,0,0,0,0,0
Leopard Kg,0,0,0,0,0,0
Spotted hyaena No,0,0,0,0,0,0
Spotted hyaena Kg,0,0,0,0,0,0
Chimpanzee No,0,0,0,0,0,0
Chimpanzee Kg,0,0,0,0,0,0
Mountain gorilla No,0,0,0,0,0,0
Mountain gorilla Kg,0,0,0,0,0,0
Red Colobus No,0,0,0,0,0,0
Red Colobus Kg,0,0,0,0,0,0
Guereza colobus No,0,0,0,0,0,0
Guereza colobus Kg,0,0,0,0,0,0
Angolan colobus No,0,0,0,0,0,0
Angolan colobus Kg,0,0,0,0,0,0
Python No,0,0,0,0,0,0
Python Kg,0,0,0,0,0,0
Chamaeleons No,0,0,0,0,0,0
Chamaeleons Kg,0,0,0,0,0,0
Tortoises No,0,0,0,0,0,0
Tortoises Kg,0,0,0,0,0,0
Bird(s)- No,0,0,0,0,0,0
Bird(s)- Kg,0,0,0,0,0,0
Catfish No,0,0,0,0,0,0
Catfish Kg,0,0,0,0,0,0
Lungfish No,0,0,0,0,0,0
Lungfish Kg,0,0,0,0,0,0
Tilapia No,0,0,0,0,0,0
Tilapia Kg,0,0,0,0,0,0
Nile Perch No,0,0,0,0,0,0
Nile Perch Kg,0,150,0,0,0,150
Other species- No,0,0,0,19,0,19
Other species- Kg,0,0,0,0,0,0
